_id,segment_id,date,weekday,period,LOS,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,LOS_encoded,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,street_type_bank,street_type_bus_station,street_type_car,street_type_cinema,street_type_clothes,street_type_company,street_type_convenience,street_type_fuel,street_type_government,street_type_house,street_type_marketplace,street_type_motorway,street_type_motorway_link,street_type_pitch,street_type_primary,street_type_primary_link,street_type_residential,street_type_school,street_type_secondary,street_type_secondary_link,street_type_tertiary,street_type_tertiary_link,street_type_trunk,street_type_trunk_link,street_type_unclassified,street_type_university,hour,minute,length_z_score
5138,14522,2020-12-01,1,period_15_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,-0.5658930293620121
5139,14522,2020-12-01,1,period_15_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,30,-0.5658930293620121
5140,14522,2020-12-02,2,period_13_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,30,-0.5658930293620121
5141,14522,2020-12-02,2,period_14_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,-0.5658930293620121
5142,14522,2020-12-02,2,period_14_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,30,-0.5658930293620121
5143,14522,2020-12-02,2,period_15_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,30,-0.5658930293620121
5144,14522,2020-12-05,5,period_10_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,-0.5658930293620121
5145,14522,2020-12-05,5,period_9_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,30,-0.5658930293620121
5146,14522,2020-12-06,6,period_13_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,-0.5658930293620121
5147,14522,2020-12-06,6,period_13_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,30,-0.5658930293620121
5148,14522,2020-12-06,6,period_14_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,30,-0.5658930293620121
5149,14522,2020-12-06,6,period_15_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,-0.5658930293620121
5150,14522,2020-12-06,6,period_3_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,-0.5658930293620121
5151,14522,2020-12-06,6,period_3_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,30,-0.5658930293620121
5152,14522,2020-12-06,6,period_4_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,-0.5658930293620121
5153,14522,2020-12-06,6,period_7_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,-0.5658930293620121
5154,14522,2020-12-06,6,period_7_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,30,-0.5658930293620121
5155,14522,2020-12-07,0,period_13_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,30,-0.5658930293620121
5156,14522,2020-12-07,0,period_14_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,-0.5658930293620121
5157,14522,2020-12-07,0,period_14_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,30,-0.5658930293620121
5158,14522,2020-12-09,2,period_13_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,30,-0.5658930293620121
5159,14522,2020-12-10,3,period_14_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,-0.5658930293620121
5160,14522,2020-12-10,3,period_14_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,30,-0.5658930293620121
5161,14522,2020-12-10,3,period_15_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,-0.5658930293620121
5162,14522,2020-12-12,5,period_4_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,-0.5658930293620121
5163,14522,2020-12-12,5,period_4_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,30,-0.5658930293620121
5164,14522,2020-12-12,5,period_5_30,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,30,-0.5658930293620121
5165,14522,2020-12-12,5,period_6_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,-0.5658930293620121
5166,14522,2020-12-12,5,period_6_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,30,-0.5658930293620121
5167,14522,2020-12-12,5,period_7_00,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,-0.5658930293620121
5168,14522,2020-12-12,5,period_7_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,30,-0.5658930293620121
5169,14522,2020-12-12,5,period_8_30,A,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,30,-0.5658930293620121
5170,14522,2020-12-13,6,period_10_00,B,3220146441,366466954,12,32587043,,0,Lê Thị Hà,unclassified,106.5982545,10.8866343,106.5982675,10.8865251,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,-0.5658930293620121
